owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
fatih,vim-go,fatih/vim-go,8955,"Ankara, Turkey",tr,"Vim script,Go,Shell,Python,Makefile,Dockerfile",Vim script,2436,https://api.github.com/users/fatih,https://api.github.com/repos/fatih/vim-go/languages,https://api.github.com/repos/fatih/vim-go/contributors
needim,noty,needim/noty,5986,Turkey / Izmir,tr,"JavaScript,CSS,HTML",JavaScript,428,https://api.github.com/users/needim,https://api.github.com/repos/needim/noty/languages,https://api.github.com/repos/needim/noty/contributors
seyhunak,twitter-bootstrap-rails,seyhunak/twitter-bootstrap-rails,4515,"Istanbul, Turkey",tr,"HTML,Ruby,CoffeeScript",HTML,1090,https://api.github.com/users/seyhunak,https://api.github.com/repos/seyhunak/twitter-bootstrap-rails/languages,https://api.github.com/repos/seyhunak/twitter-bootstrap-rails/contributors
emre,storm,emre/storm,3269,Istanbul / Turkey,tr,"Python,CSS,JavaScript,Shell,HTML",Python,439,https://api.github.com/users/emre,https://api.github.com/repos/emre/storm/languages,https://api.github.com/repos/emre/storm/contributors
iammert,ScalingLayout,iammert/ScalingLayout,2621,Istanbul,tr,Java,Java,30,https://api.github.com/users/iammert,https://api.github.com/repos/iammert/ScalingLayout/languages,https://api.github.com/repos/iammert/ScalingLayout/contributors
fatih,color,fatih/color,2594,"Ankara, Turkey",tr,Go,Go,215,https://api.github.com/users/fatih,https://api.github.com/repos/fatih/color/languages,https://api.github.com/repos/fatih/color/contributors
fatih,structs,fatih/structs,2355,"Ankara, Turkey",tr,Go,Go,274,https://api.github.com/users/fatih,https://api.github.com/repos/fatih/structs/languages,https://api.github.com/repos/fatih/structs/contributors
ademilter,bricklayer,ademilter/bricklayer,2337,Istanbul,tr,"TypeScript,JavaScript,CSS",TypeScript,208,https://api.github.com/users/ademilter,https://api.github.com/repos/ademilter/bricklayer/languages,https://api.github.com/repos/ademilter/bricklayer/contributors
hsnaydd,moveTo,hsnaydd/moveTo,2318,"€¡zmir, Turkey",tr,JavaScript,JavaScript,239,https://api.github.com/users/hsnaydd,https://api.github.com/repos/hsnaydd/moveTo/languages,https://api.github.com/repos/hsnaydd/moveTo/contributors
iammert,MaterialIntroView,iammert/MaterialIntroView,2118,Istanbul,tr,Java,Java,98,https://api.github.com/users/iammert,https://api.github.com/repos/iammert/MaterialIntroView/languages,https://api.github.com/repos/iammert/MaterialIntroView/contributors
arslanbilal,git-cheat-sheet,arslanbilal/git-cheat-sheet,1990,"Istanbul, Turkey",tr,,,300,https://api.github.com/users/arslanbilal,https://api.github.com/repos/arslanbilal/git-cheat-sheet/languages,https://api.github.com/repos/arslanbilal/git-cheat-sheet/contributors
ekremkaraca,awesome-rails,ekremkaraca/awesome-rails,1901,"Mu€Ùla, Turkey",tr,,,282,https://api.github.com/users/ekremkaraca,https://api.github.com/repos/ekremkaraca/awesome-rails/languages,https://api.github.com/repos/ekremkaraca/awesome-rails/contributors
evrencoskun,TableView,evrencoskun/TableView,1750,Istanbul,tr,Java,Java,379,https://api.github.com/users/evrencoskun,https://api.github.com/repos/evrencoskun/TableView/languages,https://api.github.com/repos/evrencoskun/TableView/contributors
eluleci,FlatUI,eluleci/FlatUI,1630,€¡stanbul,tr,"Java,Groovy",Java,54,https://api.github.com/users/eluleci,https://api.github.com/repos/eluleci/FlatUI/languages,https://api.github.com/repos/eluleci/FlatUI/contributors
onokumus,metismenu,onokumus/metismenu,1606,"Kutahya, KÌ_tahya, Turkey",tr,"JavaScript,CSS",JavaScript,316,https://api.github.com/users/onokumus,https://api.github.com/repos/onokumus/metismenu/languages,https://api.github.com/repos/onokumus/metismenu/contributors
