owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,34870,"Lviv, Ukraine",ua,JavaScript,JavaScript,749,https://api.github.com/users/trekhleb,https://api.github.com/repos/trekhleb/javascript-algorithms/languages,https://api.github.com/repos/trekhleb/javascript-algorithms/contributors
dimsemenov,PhotoSwipe,dimsemenov/PhotoSwipe,17061,"Ukraine, Kyiv",ua,"JavaScript,HTML,CSS",JavaScript,486,https://api.github.com/users/dimsemenov,https://api.github.com/repos/dimsemenov/PhotoSwipe/languages,https://api.github.com/repos/dimsemenov/PhotoSwipe/contributors
serhii-londar,open-source-mac-os-apps,serhii-londar/open-source-mac-os-apps,13305,"Lviv, Ukraine",ua,Swift,Swift,557,https://api.github.com/users/serhii-londar,https://api.github.com/repos/serhii-londar/open-source-mac-os-apps/languages,https://api.github.com/repos/serhii-londar/open-source-mac-os-apps/contributors
denysdovhan,wtfjs,denysdovhan/wtfjs,12036,"Ukraine, Chernivtsi",ua,JavaScript,JavaScript,276,https://api.github.com/users/denysdovhan,https://api.github.com/repos/denysdovhan/wtfjs/languages,https://api.github.com/repos/denysdovhan/wtfjs/contributors
dimsemenov,Magnific-Popup,dimsemenov/Magnific-Popup,10371,"Ukraine, Kyiv",ua,"JavaScript,HTML,CSS",JavaScript,408,https://api.github.com/users/dimsemenov,https://api.github.com/repos/dimsemenov/Magnific-Popup/languages,https://api.github.com/repos/dimsemenov/Magnific-Popup/contributors
uglide,RedisDesktopManager,uglide/RedisDesktopManager,8747,Ukraine,ua,"C++,QML,JavaScript,QMake,Shell,NSIS,HTML,Python,C,Batchfile,Makefile",C++,1467,https://api.github.com/users/uglide,https://api.github.com/repos/uglide/RedisDesktopManager/languages,https://api.github.com/repos/uglide/RedisDesktopManager/contributors
Yalantis,uCrop,Yalantis/uCrop,7474,"Ukraine, Dnipro",ua,"Java,C++,Makefile",Java,316,https://api.github.com/users/Yalantis,https://api.github.com/repos/Yalantis/uCrop/languages,https://api.github.com/repos/Yalantis/uCrop/contributors
valyala,fasthttp,valyala/fasthttp,6789,Kiev,ua,Go,Go,1121,https://api.github.com/users/valyala,https://api.github.com/repos/valyala/fasthttp/languages,https://api.github.com/repos/valyala/fasthttp/contributors
DennisYurichev,RE-for-beginners,DennisYurichev/RE-for-beginners,6271,"Kiev, Ukraine",ua,"TeX,Assembly,C,Mathematica,C++,Python,Makefile,Shell",TeX,3345,https://api.github.com/users/DennisYurichev,https://api.github.com/repos/DennisYurichev/RE-for-beginners/languages,https://api.github.com/repos/DennisYurichev/RE-for-beginners/contributors
NeXTs,Clusterize.js,NeXTs/Clusterize.js,5865,"Odessa, Ukraine",ua,"JavaScript,CSS",JavaScript,76,https://api.github.com/users/NeXTs,https://api.github.com/repos/NeXTs/Clusterize.js/languages,https://api.github.com/repos/NeXTs/Clusterize.js/contributors
olton,Metro-UI-CSS,olton/Metro-UI-CSS,5776,"Kiev, Ukraine",ua,"CSS,JavaScript",CSS,1570,https://api.github.com/users/olton,https://api.github.com/repos/olton/Metro-UI-CSS/languages,https://api.github.com/repos/olton/Metro-UI-CSS/contributors
ipselon,structor,ipselon/structor,5345,"Kyiv, Ukraine",ua,"JavaScript,CSS,HTML",JavaScript,559,https://api.github.com/users/ipselon,https://api.github.com/repos/ipselon/structor/languages,https://api.github.com/repos/ipselon/structor/contributors
Devlight,InfiniteCycleViewPager,Devlight/InfiniteCycleViewPager,4986,Ukraine,ua,Java,Java,89,https://api.github.com/users/Devlight,https://api.github.com/repos/Devlight/InfiniteCycleViewPager/languages,https://api.github.com/repos/Devlight/InfiniteCycleViewPager/contributors
Yalantis,Side-Menu.Android,Yalantis/Side-Menu.Android,4723,"Ukraine, Dnipro",ua,Java,Java,57,https://api.github.com/users/Yalantis,https://api.github.com/repos/Yalantis/Side-Menu.Android/languages,https://api.github.com/repos/Yalantis/Side-Menu.Android/contributors
LisaDziuba,Marketing-for-Engineers,LisaDziuba/Marketing-for-Engineers,4656,"Ukraine, Kiev",ua,,,465,https://api.github.com/users/LisaDziuba,https://api.github.com/repos/LisaDziuba/Marketing-for-Engineers/languages,https://api.github.com/repos/LisaDziuba/Marketing-for-Engineers/contributors
denysdovhan,spaceship-prompt,denysdovhan/spaceship-prompt,4431,"Ukraine, Chernivtsi",ua,Shell,Shell,906,https://api.github.com/users/denysdovhan,https://api.github.com/repos/denysdovhan/spaceship-prompt/languages,https://api.github.com/repos/denysdovhan/spaceship-prompt/contributors
Devlight,NavigationTabBar,Devlight/NavigationTabBar,4179,Ukraine,ua,Java,Java,86,https://api.github.com/users/Devlight,https://api.github.com/repos/Devlight/NavigationTabBar/languages,https://api.github.com/repos/Devlight/NavigationTabBar/contributors
yarolegovich,DiscreteScrollView,yarolegovich/DiscreteScrollView,4007,"Ukraine, Kiev",ua,Java,Java,96,https://api.github.com/users/yarolegovich,https://api.github.com/repos/yarolegovich/DiscreteScrollView/languages,https://api.github.com/repos/yarolegovich/DiscreteScrollView/contributors
Yalantis,Koloda,Yalantis/Koloda,3974,"Ukraine, Dnipro",ua,"Swift,Ruby,Objective-C",Swift,481,https://api.github.com/users/Yalantis,https://api.github.com/repos/Yalantis/Koloda/languages,https://api.github.com/repos/Yalantis/Koloda/contributors
Yalantis,Phoenix,Yalantis/Phoenix,3867,"Ukraine, Dnipro",ua,Java,Java,72,https://api.github.com/users/Yalantis,https://api.github.com/repos/Yalantis/Phoenix/languages,https://api.github.com/repos/Yalantis/Phoenix/contributors
Yalantis,FoldingTabBar.iOS,Yalantis/FoldingTabBar.iOS,3616,"Ukraine, Dnipro",ua,"Objective-C,Swift,Ruby",Objective-C,214,https://api.github.com/users/Yalantis,https://api.github.com/repos/Yalantis/FoldingTabBar.iOS/languages,https://api.github.com/repos/Yalantis/FoldingTabBar.iOS/contributors
denysdovhan,bash-handbook,denysdovhan/bash-handbook,3436,"Ukraine, Chernivtsi",ua,JavaScript,JavaScript,344,https://api.github.com/users/denysdovhan,https://api.github.com/repos/denysdovhan/bash-handbook/languages,https://api.github.com/repos/denysdovhan/bash-handbook/contributors
Yalantis,Context-Menu.Android,Yalantis/Context-Menu.Android,3413,"Ukraine, Dnipro",ua,Java,Java,99,https://api.github.com/users/Yalantis,https://api.github.com/repos/Yalantis/Context-Menu.Android/languages,https://api.github.com/repos/Yalantis/Context-Menu.Android/contributors
likeastore,ngDialog,likeastore/ngDialog,3249,Kiev,ua,"JavaScript,HTML,CSS",JavaScript,778,https://api.github.com/users/likeastore,https://api.github.com/repos/likeastore/ngDialog/languages,https://api.github.com/repos/likeastore/ngDialog/contributors
Yalantis,StarWars.iOS,Yalantis/StarWars.iOS,3243,"Ukraine, Dnipro",ua,"Swift,Ruby,Objective-C",Swift,28,https://api.github.com/users/Yalantis,https://api.github.com/repos/Yalantis/StarWars.iOS/languages,https://api.github.com/repos/Yalantis/StarWars.iOS/contributors
romandanylyk,PageIndicatorView,romandanylyk/PageIndicatorView,3157,"Lviv, Ukraine",ua,Java,Java,387,https://api.github.com/users/romandanylyk,https://api.github.com/repos/romandanylyk/PageIndicatorView/languages,https://api.github.com/repos/romandanylyk/PageIndicatorView/contributors
Yalantis,Persei,Yalantis/Persei,3058,"Ukraine, Dnipro",ua,"Swift,Objective-C,Ruby",Swift,275,https://api.github.com/users/Yalantis,https://api.github.com/repos/Yalantis/Persei/languages,https://api.github.com/repos/Yalantis/Persei/contributors
Yalantis,GuillotineMenu,Yalantis/GuillotineMenu,2662,"Ukraine, Dnipro",ua,"Swift,Ruby",Swift,73,https://api.github.com/users/Yalantis,https://api.github.com/repos/Yalantis/GuillotineMenu/languages,https://api.github.com/repos/Yalantis/GuillotineMenu/contributors
Yalantis,GuillotineMenu-Android,Yalantis/GuillotineMenu-Android,2623,"Ukraine, Dnipro",ua,Java,Java,44,https://api.github.com/users/Yalantis,https://api.github.com/repos/Yalantis/GuillotineMenu-Android/languages,https://api.github.com/repos/Yalantis/GuillotineMenu-Android/contributors
Yalantis,Side-Menu.iOS,Yalantis/Side-Menu.iOS,2614,"Ukraine, Dnipro",ua,"Swift,Ruby,Objective-C",Swift,56,https://api.github.com/users/Yalantis,https://api.github.com/repos/Yalantis/Side-Menu.iOS/languages,https://api.github.com/repos/Yalantis/Side-Menu.iOS/contributors
danylovolokh,VideoPlayerManager,danylovolokh/VideoPlayerManager,2612,"Ukraine, Lviv",ua,Java,Java,73,https://api.github.com/users/danylovolokh,https://api.github.com/repos/danylovolokh/VideoPlayerManager/languages,https://api.github.com/repos/danylovolokh/VideoPlayerManager/contributors
NeXTs,Jets.js,NeXTs/Jets.js,2610,"Odessa, Ukraine",ua,"JavaScript,HTML",JavaScript,57,https://api.github.com/users/NeXTs,https://api.github.com/repos/NeXTs/Jets.js/languages,https://api.github.com/repos/NeXTs/Jets.js/contributors
BelooS,ChipsLayoutManager,BelooS/ChipsLayoutManager,2419,Ukraine,ua,Java,Java,596,https://api.github.com/users/BelooS,https://api.github.com/repos/BelooS/ChipsLayoutManager/languages,https://api.github.com/repos/BelooS/ChipsLayoutManager/contributors
yarolegovich,SlidingRootNav,yarolegovich/SlidingRootNav,2359,"Ukraine, Kiev",ua,Java,Java,19,https://api.github.com/users/yarolegovich,https://api.github.com/repos/yarolegovich/SlidingRootNav/languages,https://api.github.com/repos/yarolegovich/SlidingRootNav/contributors
Cleveroad,SlidingTutorial-Android,Cleveroad/SlidingTutorial-Android,2333,Ukraine,ua,Java,Java,95,https://api.github.com/users/Cleveroad,https://api.github.com/repos/Cleveroad/SlidingTutorial-Android/languages,https://api.github.com/repos/Cleveroad/SlidingTutorial-Android/contributors
