owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
twbs,bootstrap,twbs/bootstrap,126863,San Francisco,us,"CSS,JavaScript,HTML,Shell,Ruby,PowerShell",CSS,17975,https://api.github.com/users/twbs,https://api.github.com/repos/twbs/bootstrap/languages,https://api.github.com/repos/twbs/bootstrap/contributors
d3,d3,d3/d3,78211,"San Francisco, CA",us,JavaScript,JavaScript,4253,https://api.github.com/users/d3,https://api.github.com/repos/d3/d3/languages,https://api.github.com/repos/d3/d3/contributors
airbnb,javascript,airbnb/javascript,75077,San Francisco,us,JavaScript,JavaScript,1769,https://api.github.com/users/airbnb,https://api.github.com/repos/airbnb/javascript/languages,https://api.github.com/repos/airbnb/javascript/contributors
github,gitignore,github/gitignore,71651,"San Francisco, CA",us,,,2970,https://api.github.com/users/github,https://api.github.com/repos/github/gitignore/languages,https://api.github.com/repos/github/gitignore/contributors
electron,electron,electron/electron,63672,"San Francisco, CA",us,"C++,JavaScript,Objective-C++,Python,Objective-C,HTML,Shell,C,CSS,Dockerfile,PowerShell",C++,19999,https://api.github.com/users/electron,https://api.github.com/repos/electron/electron/languages,https://api.github.com/repos/electron/electron/contributors
daneden,animate.css,daneden/animate.css,53718,"San Francisco, CA",us,"CSS,JavaScript",CSS,522,https://api.github.com/users/daneden,https://api.github.com/repos/daneden/animate.css/languages,https://api.github.com/repos/daneden/animate.css/contributors
Semantic-Org,Semantic-UI,Semantic-Org/Semantic-UI,42580,New York,us,"JavaScript,CSS,HTML",JavaScript,6703,https://api.github.com/users/Semantic-Org,https://api.github.com/repos/Semantic-Org/Semantic-UI/languages,https://api.github.com/repos/Semantic-Org/Semantic-UI/contributors
mui-org,material-ui,mui-org/material-ui,39613,San Francisco,us,"JavaScript,TypeScript,HTML,Shell",JavaScript,8077,https://api.github.com/users/mui-org,https://api.github.com/repos/mui-org/material-ui/languages,https://api.github.com/repos/mui-org/material-ui/contributors
ionic-team,ionic,ionic-team/ionic,35108,"Madison, Boston",us,"TypeScript,HTML,CSS,JavaScript",TypeScript,8585,https://api.github.com/users/ionic-team,https://api.github.com/repos/ionic-team/ionic/languages,https://api.github.com/repos/ionic-team/ionic/contributors
necolas,normalize.css,necolas/normalize.css,32113,"San Francisco, CA",us,CSS,CSS,457,https://api.github.com/users/necolas,https://api.github.com/repos/necolas/normalize.css/languages,https://api.github.com/repos/necolas/normalize.css/contributors
