owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
ZuzooVn,machine-learning-for-software-engineers,ZuzooVn/machine-learning-for-software-engineers,19629,Vietnam,vn,,,353,https://api.github.com/users/ZuzooVn,https://api.github.com/repos/ZuzooVn/machine-learning-for-software-engineers/languages,https://api.github.com/repos/ZuzooVn/machine-learning-for-software-engineers/contributors
luongvo209,Awesome-Linux-Software,luongvo209/Awesome-Linux-Software,9517,"Ho Chi Minh city, Vietnam",vn,Python,Python,1135,https://api.github.com/users/luongvo209,https://api.github.com/repos/luongvo209/Awesome-Linux-Software/languages,https://api.github.com/repos/luongvo209/Awesome-Linux-Software/contributors
tuhdo,os01,tuhdo/os01,6797,Vietnam,vn,"TeX,Makefile,Assembly,GDB,C",TeX,279,https://api.github.com/users/tuhdo,https://api.github.com/repos/tuhdo/os01/languages,https://api.github.com/repos/tuhdo/os01/contributors
evolus,pencil,evolus/pencil,6268,"Ho Chi Minh city, Vietnam",vn,"JavaScript,HTML,CSS,XSLT,Shell",JavaScript,1496,https://api.github.com/users/evolus,https://api.github.com/repos/evolus/pencil/languages,https://api.github.com/repos/evolus/pencil/contributors
thangchung,awesome-dotnet-core,thangchung/awesome-dotnet-core,5872,"Saigon, Vietnam",vn,C#,C#,1028,https://api.github.com/users/thangchung,https://api.github.com/repos/thangchung/awesome-dotnet-core/languages,https://api.github.com/repos/thangchung/awesome-dotnet-core/contributors
rey5137,material,rey5137/material,5576,Vietnam,vn,Java,Java,375,https://api.github.com/users/rey5137,https://api.github.com/repos/rey5137/material/languages,https://api.github.com/repos/rey5137/material/contributors
rockerhieu,emojicon,rockerhieu/emojicon,3338,"Ho Chi Minh, Vietnam",vn,Java,Java,249,https://api.github.com/users/rockerhieu,https://api.github.com/repos/rockerhieu/emojicon/languages,https://api.github.com/repos/rockerhieu/emojicon/contributors
longld,peda,longld/peda,2786,Vietnam,vn,Python,Python,96,https://api.github.com/users/longld,https://api.github.com/repos/longld/peda/languages,https://api.github.com/repos/longld/peda/contributors
PhamBaTho,BTNavigationDropdownMenu,PhamBaTho/BTNavigationDropdownMenu,2301,Vietnam,vn,"Swift,Ruby",Swift,331,https://api.github.com/users/PhamBaTho,https://api.github.com/repos/PhamBaTho/BTNavigationDropdownMenu/languages,https://api.github.com/repos/PhamBaTho/BTNavigationDropdownMenu/contributors
luongvo209,Begin-Latex-in-minutes,luongvo209/Begin-Latex-in-minutes,2223,"Ho Chi Minh city, Vietnam",vn,,,207,https://api.github.com/users/luongvo209,https://api.github.com/repos/luongvo209/Begin-Latex-in-minutes/languages,https://api.github.com/repos/luongvo209/Begin-Latex-in-minutes/contributors
fpt-software,Material-Controls-For-iOS,fpt-software/Material-Controls-For-iOS,2221,Vietnam,vn,"Objective-C,C#,Makefile,Ruby,Smalltalk",Objective-C,305,https://api.github.com/users/fpt-software,https://api.github.com/repos/fpt-software/Material-Controls-For-iOS/languages,https://api.github.com/repos/fpt-software/Material-Controls-For-iOS/contributors
kombai,freewall,kombai/freewall,1831,Vietnam,vn,"HTML,JavaScript,CSS",HTML,404,https://api.github.com/users/kombai,https://api.github.com/repos/kombai/freewall/languages,https://api.github.com/repos/kombai/freewall/contributors
