country_code,num_project
az,1
cm,1
pe,1
lb,1
jo,1
ng,1
dz,1
ba,1
co,1
bh,1
lk,1
my,1
tn,1
tz,1
cu,1
ve,1
cl,1
mt,2
ma,2
mk,2
ge,2
mx,2
jm,2
hr,2
am,2
lt,2
ee,3
si,3
sc,3
ir,3
eg,3
rs,3
sk,3
uy,4
lu,4
pk,4
bd,4
za,5
id,6
th,6
lv,7
ae,7
hu,7
ph,9
gr,11
vn,12
bg,12
ro,13
nz,13
by,14
tr,15
ar,17
pt,18
kr,20
cr,21
cz,21
sg,22
ie,25
be,27
il,28
dk,28
no,36
fi,38
br,40
at,40
pl,48
ch,50
ua,57
it,57
ru,63
es,76
nl,82
se,84
au,85
in,89
jp,118
fr,161
ca,189
gb,254
de,273
cn,514
us,1039
