id,name,location,num_watchers,language,newLanguage
2236,dotfiles,Belgium,19126,Shell,shell
11635735,sprint,Belgium,4750,JavaScript,javascript
13255,veewee,Belgium,4236,Shell,shell
11159409,python-prompt-toolkit,Belgium,4180,Python,python
21025240,animateplus,Belgium,4109,JavaScript,javascript
57701616,panelkit,,3228,Swift,swift
3519,jquery-placeholder,Belgium,3066,JavaScript,javascript
25826264,laravel-permission,"Antwerp, Belgium",3004,PHP,php
3806812,Laravel-MongoDB,"Ghent, Belgium",2929,PHP,php
12406384,ptpython,Belgium,2539,Python,python
21735382,FlexibleAdapter,Brussels,2465,Java,java
18384493,pyvim,Belgium,2252,Python,python
20375442,laravel-backup,"Antwerp, Belgium",2159,PHP,php
20374325,laravel-medialibrary,"Antwerp, Belgium",1901,PHP,php
29762,jquery.inputmask,Belgium,1853,JavaScript,javascript
78337625,leela-zero,Belgium,1801,C++,c++
5486078,opentype.js,"Antwerp, Belgium",1708,JavaScript,javascript
25261302,FLIF,"Brussels, Belgium",1598,C++,c++
23372065,agent,"Ghent, Belgium",1450,PHP,php
27224547,FLIF,Brussels,1433,C++,c++
14617591,MaterialSkin,Belgium,1356,C#,c#
6902604,evil.sh,Belgium,1300,Shell,shell
4235224,he,Belgium,1294,JavaScript,javascript
20410937,laravel-analytics,"Antwerp, Belgium",1225,PHP,php
23202,forkcms,"Ghent, Belgium",1210,PHP,php
7731652,pymux,Belgium,1200,Python,python
