id,name,location,num_watchers,language,newLanguage
19388,markdown-here,"Toronto, Canada",25348,JavaScript,javascript
25601631,preact,"Ontario, Canada",18078,JavaScript,javascript
12343173,CodeIgniter,"Burnaby, B.C.",17313,PHP,php
6053504,devdocs,"Ottawa, Canada",15090,Ruby,ruby
2331699,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,"Ottawa, Canada",14465,Jupyter Notebook,python
28864177,Perfect,"Newmarket, Ontario, Canada",11941,Swift,swift
12744343,git-extras,"Victoria, BC, Canada",11513,Shell,shell
12750961,commander.js,"Victoria, BC, Canada",10441,JavaScript,javascript
10396186,DZNEmptyDataSet,Vancouver,9981,Objective-C,objective-c
23710602,flatpickr,"Toronto, Canada",9636,CSS,javascript
12750637,co,"Victoria, BC, Canada",9618,JavaScript,javascript
12746037,n,"Victoria, BC, Canada",9004,Shell,shell
9789111,NodeBB,"Toronto, ON",8812,JavaScript,javascript
997968,hosts,"Kingston, Ontario, Canada",8510,Python,python
28904919,plotly.js,Montréal,7480,JavaScript,javascript
27441554,react-desktop,"Montréal, Canada",7429,JavaScript,javascript
12749140,jade,"Victoria, BC, Canada",7280,JavaScript,javascript
16085723,termui,"Toronto, Canada",7061,Go,go
10832091,SVProgressHUD,Montreal,6810,Objective-C,objective-c
5926106,logrus,"Ottawa, ON",6647,Go,go
27281253,volkswagen,"Vancouver, Canada",6561,JavaScript,javascript
739410,Carbon,"Ottawa, Canada",6521,PHP,php
52375180,JavaScript30,"Hamilton, Ontario",5903,,javascript
36732159,why-did-you-update,"Vancouver, Canada",5371,JavaScript,javascript
12747813,mocha,"Victoria, BC, Canada",5329,JavaScript,javascript
52992,tig,Montréal,4709,C,c
29450,node-bunyan,"Vancouver, Canada",4434,JavaScript,javascript
18219363,react-native-camera,"Vancouver, Canada",4396,Objective-C,objective-c
28591147,notie.js,Canada,4189,JavaScript,javascript
1457727,pickadate.js,"Toronto, Canada",4140,JavaScript,javascript
22214017,dash,Montréal,4113,Python,python
12760329,ejs,"Victoria, BC, Canada",4081,JavaScript,javascript
20138,SVPullToRefresh,Montréal,3967,Objective-C,objective-c
31116023,devtool,Toronto Ontario,3967,JavaScript,javascript
19005799,echo-chamber-js,Canada,3899,JavaScript,javascript
7795875,Vundle.vim,"Toronto, ON, Canada",3792,VimL,erlang
2857,zeus,"Ottawa, Ontario, Canada",3568,Go,go
29527,Sick-Beard,Canada,3551,Python,python
27573849,mimic,Canada,3454,Python,python
18013712,HackerNews-React-Native,"Toronto, ON, Canada",3436,JavaScript,javascript
18976,freegeoip,"Toronto, Canada",3434,Go,go
30349434,frontend-boilerplate,"Victoria, BC, Canada",3303,JavaScript,javascript
13032623,Sonarr,"Vancouver, Canada",3263,C#,c#
4663,rivets,"Vancouver, BC",3162,JavaScript,javascript
28101344,fisherman,International waters,2985,Shell,shell
1366256,app,"Waterloo, Ontario",2943,JavaScript,javascript
12612,doT,"Toronto, Canada",2936,JavaScript,javascript
27393415,plotly.py,Montréal,2920,Python,python
12788637,should.js,"Victoria, BC, Canada",2900,JavaScript,javascript
12745227,consolidate.js,"Victoria, BC, Canada",2763,JavaScript,javascript
9381514,speech_recognition,"Waterloo, Ontario",2719,Python,python
1914,PushSharp,"Ontario, Canada",2711,C#,c#
897,jQuery-Validation-Engine,"Montreal, Canada",2695,JavaScript,javascript
10832897,SVWebViewController,Montreal,2694,Objective-C,objective-c
85142718,workerize,"Ontario, Canada",2584,JavaScript,javascript
13430334,GamePlay,"Toronto, Canada",2551,C++,c++
57839022,unfetch,"Ontario, Canada",2544,JavaScript,javascript
11105880,onepassword-app-extension,"Toronto, Canada",2493,Objective-C,objective-c
12746126,superagent,"Victoria, BC, Canada",2486,JavaScript,javascript
41522042,asyncpg,"Toronto, Canada",2410,Python,python
17563948,500px-android-blur,"Toronto, ON, Canada",2255,Java,java
13453519,gridstack.js,"Vancouver, Canada",2224,JavaScript,javascript
41498,delayed_job,"Ottawa, Canada",2195,Ruby,ruby
12768854,move.js,"Victoria, BC, Canada",2186,JavaScript,javascript
19488108,AlamofireObjectMapper,"Toronto, Canada",2180,Swift,swift
31597136,react-flip-move,"Montreal, QC",2175,JavaScript,javascript
19682588,ccat,Vancouver,2164,Go,go
12744759,dox,"Victoria, BC, Canada",2130,JavaScript,javascript
17067207,go-pry,Vancouver,2097,Go,go
10760,GMGridView,"Toronto, Canada",2084,Objective-C,objective-c
27791062,chi,"Toronto, ON",2079,Go,go
1030067,bootstrap-modal,"Waterloo, Ontario",2050,JavaScript,javascript
2457736,libstreaming,Montreal,2039,Java,java
4765,bigbluebutton,"Ottawa, Canada",2035,Java,java
20431468,SublimePicker,"Toronto, ON",2033,Java,java
4230239,pivottable,"Montreal, QC",2007,JavaScript,javascript
12779371,nib,"Victoria, BC, Canada",1946,CSS,javascript
2400564,textillate,"Waterloo, Ontario",1941,JavaScript,javascript
29984986,ElasticTransition,"Waterloo, ON",1907,Swift,swift
2310616,noble,Ottawa,1893,JavaScript,javascript
7624394,kanboard,"Montreal, Canada",1861,PHP,php
12821674,connect-redis,"Victoria, BC, Canada",1852,JavaScript,javascript
25384,thin,"Montreal, QC, Canada",1849,Ruby,ruby
12750365,supertest,"Victoria, BC, Canada",1724,JavaScript,javascript
25109874,chromatism,Toronto Ontario Canada,1715,JavaScript,javascript
28186396,React-For-Beginners-Starter-Files,"Hamilton, Ontario",1704,JavaScript,javascript
13507748,uhabits,Canada,1678,Java,java
20428514,embark-framework,Canada,1648,JavaScript,javascript
23296629,sup,"Toronto, ON",1639,Go,go
967757,apartment,"Toronto, ON",1630,Ruby,ruby
16865771,UnityDecompiled,"Hamilton, Ontario, Canada",1618,C#,c#
1662687,easyrtc,Victoria BC Canada,1611,JavaScript,javascript
44486,BareMetal-OS,"Waterloo, Ontario",1596,Assembly,assembly
7808399,php-encryption,"Waterloo, Ontario",1572,PHP,php
