id,name,location,num_watchers,language,newLanguage
9697927,psutil,"Prague, Czech Republic",3388,Python,python
16836,ShiftIt,Czech Republic,3056,Objective-C,objective-c
16133834,android-butterknife-zelezny,Czech Republic,2759,Java,java
20019336,SpaceEngineers,"Czech Republic, Prague",2636,C#,c#
1358566,MapDB,"Prague, Czech Republic",2512,Java,java
77027,magnum,"Prague, Czech Republic",1724,C++,c++
25957,joint,Prague,1610,JavaScript,javascript
5045887,android-selector-chapek,Prague,1502,Java,java
1396558,wwwsqldesigner,Prague,1315,JavaScript,javascript
2854268,sumy,Brno,1312,Python,python
15118756,roles,Czech republic,1271,PHP,php
