id,name,location,num_watchers,language,newLanguage
11784159,particles.js,"Paris, France",14110,JavaScript,javascript
6690250,How-to-Make-a-Computer-Operating-System,"Lyon, France",13385,C,c
56050,Faker,"Nancy, France",12003,PHP,php
19230847,MaterialViewPager,France,7313,Java,java
3568123,nedb,Paris,6527,JavaScript,javascript
3482,sigma.js,"Nantes, France",5682,JavaScript,javascript
26275233,RxPermissions,"Montpellier, France",5680,Java,java
21571,casperjs,"Montpellier, France",5348,JavaScript,javascript
738430,angular-strap,"Paris, France",5329,JavaScript,javascript
9049071,mimikatz,France,5300,C,c
11145029,cowboy,France,4982,Erlang,erlang
12617548,RippleEffect,"Paris, France",4705,Java,java
2260970,libsodium,"Paris, France",4578,C,c
15504561,shipit,"Paris, France",4231,JavaScript,javascript
9571137,generator-gulp-angular,Lyon,4202,JavaScript,javascript
13570341,gifify,"Paris, france",4172,JavaScript,javascript
1960528,Parsley.js,Paris,3987,JavaScript,javascript
44639790,granim.js,"Paris, France",3975,JavaScript,javascript
22041560,redux-tutorial,"Paris, France",3852,JavaScript,javascript
14561005,eslint-plugin-react,"Paris, France",3754,JavaScript,javascript
4115240,mac-dev-setup,"Paris, France",3708,Shell,shell
4909,cjdns,Paris France,3637,Assembly,assembly
6830,lila,"Paris, France",3535,Scala,scala
25814105,pupy,France,3471,Python,python
28799861,react-native-gifted-chat,"Paris, France",3454,JavaScript,javascript
200146,countries,"Paris, France",3444,PHP,php
1359660,cryptocat,"Paris, France",3390,JavaScript,javascript
6653229,SmoothProgressBar,"Paris, France",3386,Java,java
14658557,TheaterJS,France,3265,JavaScript,javascript
4055917,android-iconify,Paris,3215,Java,java
26511493,Instructions,"Strasbourg, France",3179,Swift,swift
22222136,SwiftGen,"Rennes, France",3068,Swift,swift
243431,OHHTTPStubs,"Rennes, France",3033,Objective-C,objective-c
11336759,way.js,Paris,2985,JavaScript,javascript
30397300,postcss-cssnext,"Toulouse, France",2969,JavaScript,javascript
7657266,wallabag,France,2892,PHP,php
13642463,hubpress.io,"France, Nantes",2867,CSS,javascript
13702345,baobab,France,2748,JavaScript,javascript
21761063,android-percent-support-lib-sample,Marseille,2741,Java,java
7146163,ocLazyLoad,Lyon,2666,JavaScript,javascript
38366,dnscrypt-proxy,"Paris, France",2661,C,c
22526700,react-blessed,France,2661,JavaScript,javascript
30406254,docker-letsencrypt-nginx-proxy-companion,France,2626,Shell,shell
35134,ejabberd,"Paris, France",2622,Erlang,erlang
1917509,bootstrap-datetimepicker,France,2555,JavaScript,javascript
18076225,docker-mailserver,"Paris, France",2531,Shell,shell
13091013,JTCalendar,"Paris, France",2527,Objective-C,objective-c
16922,engine,"Toulouse, France",2506,Ruby,ruby
6563205,cv,"Nantes, France",2493,C,c
11108501,MongoHub-Mac,"Paris, France",2384,Objective-C,objective-c
51883,uptime,"Nancy, France",2345,JavaScript,javascript
10065999,keep-a-changelog,"Paris, France",2342,HTML,ruby
16416,gephi,"Paris, France",2317,Java,java
28071755,PhoneNumberKit,"Paris, France",2299,Swift,swift
163801,naxsi,"Paris, France",2283,C,perl
1881,SFML,France,2250,C++,c++
48369107,DiagonalLayout,France,2199,Java,java
2224956,Trumbowyg,"Lille, France",2186,JavaScript,javascript
3495936,android-pdfview,Paris,2137,Java,java
8935047,jitsi-meet,"Strasbourg, France",2132,JavaScript,javascript
25909192,hls.js,"Paris, France",2092,JavaScript,javascript
18115030,Laravel-lang,France,2080,PHP,php
26154785,react-swipeable-views,Paris,2006,JavaScript,javascript
34582412,TextAttributes,"Paris, France",1976,Swift,swift
6576513,instantclick,France,1958,JavaScript,javascript
8095234,basil.js,Paris,1958,JavaScript,javascript
711317,glm,France,1951,C++,c++
13609448,nom,"Nantes, France",1913,Rust,rust
30162362,ViewAnimator,France,1899,Java,java
