id,name,location,num_watchers,language,newLanguage
10766377,awesome-swift,Italy,14151,Swift,swift
20743170,material-theme,Monza,10918,JavaScript,javascript
11705644,cool-retro-term,"Pavia, Italy",8166,QML,c++
8380797,2048,Italy,6081,CSS,javascript
20837953,appIntro,"Bari, Puglia, Italy",5519,Java,java
6312005,AMScrollingNavbar,"Ferrara, Italy",4540,Swift,swift
15653955,textures,Italy,4391,CoffeeScript,javascript
13981,predis,"Milan, Italy",3813,PHP,php
5420628,cardslib,"Ancona, Italy",3687,Java,java
19719314,SwiftDate,"Rome, Italy",3618,Swift,swift
31215830,grapesjs,Italy,3519,JavaScript,javascript
3499960,Tesseract-OCR-iOS,Italy,3099,C,c
5061458,oh-my-git,Milano,2953,Shell,shell
11537342,RecyclerViewItemAnimators,"Ancona, Italy",2942,Java,java
15221968,bettercap,"Rome, Italy",2751,Ruby,ruby
19928375,BubbleTransition,"Ferrara, Italy",2712,Swift,swift
1343544,modern-cljs,Milan Italy,2634,Clojure,clojure
12041394,BWWalkthrough,Milano,2519,Swift,swift
18081870,tcomb-form-native,"Milan, Italy",2442,JavaScript,javascript
3845948,chrome-remote-interface,"Pisa, Italy",2303,JavaScript,javascript
2345862,bootstrap-switch,Italy,2274,HTML,javascript
10768582,AMPopTip,"Ferrara, Italy",2080,Objective-C,objective-c
9285653,AMWaveTransition,"Ferrara, Italy",2058,Objective-C,objective-c
14579911,react-day-picker,"Sardinia, Italy",1958,JavaScript,javascript
36652572,PMAlertController,Rome,1798,Swift,swift
13392915,MaterialNavigationDrawer,"Biella, Italy",1784,Java,java
14753909,dateDropper,"Bologna, Italy",1771,JavaScript,javascript
22048566,SwiftLocation,"Rome, Italy",1634,Swift,swift
901621,JohnTheRipper,CET,1600,C,c
27627,commandline,Italy,1585,C#,c#
16209,uwsgi,Rome,1572,C,c
10921404,tcomb,"Milan, Italy",1569,JavaScript,javascript
1448,Slic3r,"Rome, Italy",1448,Perl,c++
7054899,Omni-Notes,"Florence, Italy",1380,Java,java
12786269,MaterialTabs,"Biella, Italy",1360,Java,java
538741,quantlib,"Milan, Italy",1357,C++,c++
6807413,paths-js,Milano,1336,JavaScript,javascript
52553892,SwiftRichString,"Rome, Italy",1292,Swift,swift
223302,wordmove,"Turin, Italy",1253,HTML,ruby
11548804,cool-old-term,"Pavia, Italy",1215,QML,c++
1036689,betterspecs,Milan,1207,HTML,javascript
18340284,isomorphic500,"Sardinia, Italy",1194,JavaScript,javascript
