id,name,location,num_watchers,language,newLanguage
3633,gitflow,Netherlands,20206,Shell,shell
10777706,hammer.js,"Arnhem, The Netherlands",18390,JavaScript,javascript
20629,ace,"Amsterdam, The Netherlands",18158,JavaScript,javascript
1834,python-patterns,Netherlands,12238,Python,python
5312058,favico.js,"Amsterdam, Netherlands",5785,JavaScript,javascript
32310,lombok,"Delft, The Netherlands",5533,Java,java
3690496,gekko,Amsterdam,5394,JavaScript,javascript
274,will_paginate,Amsterdam,5181,Ruby,ruby
12633968,transfer.sh,Netherlands,5082,CSS,javascript
13981078,R.swift,"Amersfoort, The Netherlands",4682,Swift,swift
3142597,ListViewAnimations,Netherlands,4559,Java,java
11656251,Lynis,The Netherlands,4444,Shell,shell
8743391,Laravel-Excel,"Maastricht, The Netherlands",4431,PHP,php
12049,rq,Netherlands,4338,Python,python
20438499,vibrant.js,"Amsterdam, The Netherlands",4320,JavaScript,javascript
2705342,mathjs,Rotterdam,4178,JavaScript,javascript
1743,django-allauth,The Netherlands,3857,Python,python
1888252,Framer,Amsterdam,3794,JavaScript,javascript
9357201,Content-generator-sketch-plugin,Amsterdam,3676,JavaScript,javascript
755495,NWPusher,"The Hague, Netherlands",3648,Objective-C,objective-c
3561417,jsoneditor,Rotterdam,3249,JavaScript,javascript
16930889,HTML-GL,"Amsterdam, Netherlands",3002,JavaScript,javascript
75677,noUiSlider,The Netherlands,2735,JavaScript,javascript
12412,Backbone-relational,"Amersfoort, The Netherlands",2619,JavaScript,javascript
3071157,ioscreator,"Zeist, Netherlands",2518,Objective-C,objective-c
10910878,franc,"Amsterdam, The Netherlands",2512,JavaScript,javascript
16837900,react-isomorphic-starterkit,Amsterdam,2491,JavaScript,javascript
1854944,go-restful,Netherlands,2296,Go,go
4376,rails-erd,The Netherlands,2275,Ruby,ruby
25031693,alex,"Amsterdam, The Netherlands",2271,JavaScript,javascript
32638,ancestry,"Enschede, the Netherlands",2222,Ruby,ruby
1713,CouchPotatoServer,Netherlands,2194,Python,python
8449086,jwt,"Amsterdam, NL",2136,PHP,php
55877825,Sonoff-Tasmota,Netherlands,2111,Arduino,objective-c
13920772,nucleus,"Amsterdam, The Netherlands",2003,Java,java
74212,Cactus,Amsterdam,1986,Python,python
2151,bootstrap,Amsterdam,1964,JavaScript,javascript
9145956,uebersicht,Amsterdam,1953,Objective-C,javascript
8106142,fake2db,Netherlands,1878,Python,python
3795273,doxygen,Netherlands,1859,C++,c++
27461939,TextSurface,"Netherlands, Amsterdam",1847,Java,java
2384439,ion.rangeSlider,"Amsterdam, Netherlands",1844,JavaScript,javascript
5072213,django-bootstrap3,The Netherlands,1796,Python,python
3852613,XPrivacy,"Dordrecht, the Netherlands",1671,Java,java
10902804,data-science-at-the-command-line,Amsterdam,1662,HTML,shell
10132706,BrightFutures,The Netherlands,1654,Swift,swift
1872833,node-github,"Amsterdam, The Netherlands",1599,JavaScript,javascript
18039086,Intro-To-RxJava,Netherlands,1596,Java,java
1431,GrowingTextView,"Leiden, The Netherlands",1498,Objective-C,objective-c
21965390,ALCameraViewController,"Amsterdam, Netherlands",1482,Swift,swift
16085242,mui,The Netherlands,1468,C#,c#
27935040,NetGuard,"Dordrecht, the Netherlands",1433,Java,java
5355368,SocialSharing-PhoneGap-Plugin,"Amersfoort, The Netherlands",1413,Objective-C,objective-c
10032178,retext,"Amsterdam, The Netherlands",1402,JavaScript,javascript
13692462,minify,Netherlands,1400,Go,go
17826086,react-transmit,Amsterdam,1389,JavaScript,javascript
13504586,docker-cleanup-volumes,Netherlands,1350,Shell,shell
41885,django-userena,"Leiden, Netherlands",1346,Python,python
41957,phpjs,"Amsterdam, The Netherlands",1344,JavaScript,javascript
963542,pip-tools,Netherlands,1338,Python,python
27607558,php-crud-api,Amsterdam,1329,PHP,php
75957,ace-builds,"Amsterdam, The Netherlands",1322,JavaScript,javascript
556489,sqli-labs,Holland,1299,PHP,php
179646,node-heapdump,The Netherlands,1283,C++,c++
7924367,sass-loader,"Arnhem, Netherlands",1276,HTML,javascript
11524306,FuckFuckAdblock,"Eindhoven, The Netherlands",1270,JavaScript,javascript
186472,Android-SlideExpandableListView,Amsterdam,1248,Java,java
6037437,go.rice,"Alkmaar, The Netherlands",1200,Go,go
15123859,backup,The Netherlands,1195,Ruby,ruby
1429564,QrCode,Breda,1185,PHP,php
4209635,OpCacheGUI,The Netherlands,1177,PHP,php
8226663,oga,The Netherlands,1174,Ruby,ruby
