id,name,location,num_watchers,language,newLanguage
334,reveal.js,"Stockholm, Sweden",30827,JavaScript,javascript
9527814,grafana,Sweden,18462,Go,javascript
12150380,sweetalert,"Stockholm, Sweden",17237,JavaScript,javascript
6967282,SpinKit,Sweden,9191,CSS,javascript
10045,akka,"Uppsala, Sweden",8764,Scala,scala
896266,luigi,"Stockholm, Sweden",8568,Python,python
23834,capybara,"Gothenburg, Sweden",7566,Ruby,ruby
20068777,react-native-vector-icons,"Stockholm, Sweden",7501,JavaScript,javascript
25725,otp,"Stockholm, Sweden",7011,Erlang,erlang
180018,spark,"Malmö, Sweden",6706,Java,java
10127207,snabbt.js,Stockholm,5420,JavaScript,javascript
5400504,list.js,Stockholm,4616,JavaScript,javascript
27599470,react-native-animatable,"Stockholm, Sweden",4369,JavaScript,javascript
1457347,pundit,"Gothenburg, Sweden",4296,Ruby,ruby
5305,beautiful-web-type,"Stockholm, Sweden",4268,CSS,ruby
10296,emoji-cheat-sheet.com,"Stockholm, Sweden",4170,HTML,javascript
10481819,docker-gc,"Stockholm, Sweden",4067,Shell,shell
9329476,shout,"Malmö, Sweden",4018,JavaScript,javascript
1350237,ppsspp,"Stockholm, Sweden",3693,C++,c++
65941,livestreamer,"Stockholm, Sweden",3346,Python,python
11228451,refluxjs,"Lund, Sweden",3180,JavaScript,javascript
5431840,css,"Stockholm, Sweden",3162,JavaScript,javascript
3293797,annoy,"Stockholm, Sweden",3100,C++,c++
3928909,Ladda,"Stockholm, Sweden",3066,HTML,javascript
7946330,algorithms.js,"Stockholm, Sweden",2860,JavaScript,javascript
8622446,Dexie.js,Stockholm,2762,JavaScript,javascript
3962962,kore,Stockholm,2617,C,c
19034,stroll.js,"Stockholm, Sweden",2429,HTML,javascript
8390,curl,"Stockholm, Sweden",2296,C,c
19640,scrollpath,"Stockholm, Sweden",2245,JavaScript,javascript
115206,iodine,"Malmö, Sweden",2167,C,c
17217263,doppler,"Linköping, Sweden",2157,JavaScript,javascript
5317035,ng-annotate,"Linköping, Sweden",2146,JavaScript,javascript
1562580,iReSign,"Stockholm, Sweden",2102,Objective-C,objective-c
26056022,FlagKit,"Stockholm, Sweden",2034,Ruby,ruby
11423,android-pulltorefresh,"Stockholm, Sweden",1992,Java,java
11793809,gifu,Stockholm,1956,Swift,swift
10088234,helios,"Stockholm, Sweden",1956,Java,java
20894384,Unbox,"Stockholm, Sweden",1889,Swift,swift
7225513,clink,"Stockholm, Sweden",1883,C,c
11292866,pingfs,"Malmö, Sweden",1835,C,c
22052293,DeepDreamVideo,"Stockholm, Sweden",1817,Python,python
22864765,btfs,"Lund, Sweden",1768,C++,c++
16871114,react-scroll,Sweden,1697,JavaScript,javascript
19609,galleria,"Gothenburg, Sweden",1696,JavaScript,javascript
39075,cppcheck,"Sweden, Stockholm",1687,C++,c++
1482407,JsBarcode,Stockholm,1678,JavaScript,javascript
10241442,cake,"Stockholm, Sweden",1666,C#,c#
10420,ultrajson,"Uppsala, Sweden",1590,C,c
12736680,angular-scroll,"Stockholm, Sweden",1575,JavaScript,javascript
6645218,DropdownMenu,"Malmö, Sweden",1573,Objective-C,objective-c
12185491,openwebrtc,Sweden,1541,C,c
22059806,react-native-lightbox,"Stockholm, Sweden",1536,JavaScript,javascript
12299611,validate.js,"Stockholm, Sweden",1535,JavaScript,javascript
18242696,space.js,"Gothenburg, Sweden",1507,CSS,javascript
21174695,paper,Sweden,1496,Java,java
21133301,SwiftPlate,"Stockholm, Sweden",1485,Swift,swift
11835660,iOS-8-Swift-Programming-Cookbook,Sweden,1469,Swift,swift
28221643,react-native-progress,"Stockholm, Sweden",1458,JavaScript,javascript
212640,JsonPath,Sweden,1449,Java,java
20722,streamio-ffmpeg,"Stockholm, Sweden",1413,Ruby,ruby
8447834,psdash,"Uppsala, Sweden",1413,Python,python
10477698,docker-maven-plugin,"Stockholm, Sweden",1407,Java,java
6625430,syncthing,Sweden,1406,Go,go
13685487,elevatorsaga,Stockholm,1404,JavaScript,javascript
12211255,apple-ios-samples,Sweden,1398,Objective-C,objective-c
48218,cannon.js,"Stockholm, Sweden",1374,JavaScript,javascript
2784031,p2.js,"Stockholm, Sweden",1310,JavaScript,javascript
56326,Meny,"Stockholm, Sweden",1299,JavaScript,javascript
30438,lfe,"Stockholm, Sweden",1291,Erlang,erlang
18698249,react-native-router,"Stockholm, Sweden",1290,JavaScript,javascript
28908588,apollo,"Stockholm, Sweden",1277,Java,java
4870973,madge,Sweden,1240,JavaScript,javascript
50936724,tui-go,"Stockholm, Sweden",1224,Go,go
8788120,angular-schema-form,Sweden,1189,JavaScript,javascript
1934298,ios-fontawesome,"Stockholm, Sweden",1179,Objective-C,objective-c
3324507,go-logging,Stockholm,1176,Go,go
2779,PCV,"Malmö, Sweden",1170,Python,python
