id,name,location,num_watchers,language,newLanguage
28356853,Nativefier,Singapore,13914,JavaScript,javascript
29550241,koel,Singapore,9263,PHP,php
10373,html2canvas,Singapore,8675,JavaScript,javascript
5921950,FastImageCache,Singapore,4524,Objective-C,objective-c
6360,MKNetworkKit,Singapore,3457,Objective-C,objective-c
12717991,TextDrawable,Singapore,2701,Java,java
25874610,STPopup,Singapore,2142,Objective-C,objective-c
6644116,android-priority-jobqueue,Singapore,2095,Java,java
1305,PaperFold-for-iOS,Singapore,2011,Objective-C,objective-c
9369,MKStoreKit,Singapore,1729,Objective-C,objective-c
15396296,materialistic,Singapore,1560,Java,java
11821320,EasyAndroidAnimations,Singapore,1343,HTML,java
1038013,LXReorderableCollectionViewFlowLayout,Singapore,1275,Objective-C,objective-c
9734035,High-Frequency-Trading-Model-with-IB,Singapore,1245,Python,python
543212,IAPHelper,Singapore,1201,Objective-C,objective-c
28292,KNSemiModalViewController,Singapore,1178,Objective-C,objective-c
