id,name,location,num_watchers,language,newLanguage
14660968,is.js,Turkey,8521,JavaScript,javascript
8828930,vim-go,"Ankara, Turkey",8123,VimL,shell
5162,twitter-bootstrap-rails,"Istanbul, Turkey",4998,HTML,ruby
8004767,color,"Ankara, Turkey",2175,Go,go
3801852,storm,Istanbul / Turkey,2143,Python,python
31584692,MaterialIntroView,İstanbul/Turkey,2081,Java,java
11375731,structs,"Ankara, Turkey",1990,Go,go
6500008,FlatUI,İstanbul,1590,Java,java
6696285,metisMenu,Turkey,1539,HTML,javascript
30270773,GifView,Ankara,1456,Java,java
4918184,serenity,Istanbul,1362,C#,c#
35019404,Moon,Turkey,1203,HTML,javascript
